Year,Fuel_Type,Transmission,Mileage,Engine,Power,Price
2010,0,1,26.6,998.0,58.16,1.75
2015,1,1,19.67,1582.0,126.2,12.5
2011,3,1,18.2,1199.0,88.7,4.5
2012,1,1,20.77,1248.0,88.76,6.0
2013,1,0,15.2,1968.0,140.8,17.74
2012,2,1,21.1,814.0,55.2,2.35
2013,1,1,23.08,1461.0,63.1,3.5
2016,1,0,11.36,2755.0,171.5,17.5
2013,1,1,20.54,1598.0,103.6,5.2
2012,1,1,22.3,1248.0,74.0,1.95
2018,3,1,21.56,1462.0,103.25,9.95
2012,3,0,16.8,1497.0,116.3,4.49
2015,1,1,25.2,1248.0,74.0,5.6
2014,1,0,12.7,2179.0,187.7,27.0
2014,1,1,13.5,2477.0,175.56,15.0
2016,1,1,25.8,1498.0,98.6,5.4
2017,1,1,28.4,1248.0,74.0,5.99
2014,1,1,20.45,1461.0,83.8,6.34
2014,1,0,14.84,2143.0,167.62,28.0
2014,1,0,22.69,1995.0,190.0,18.55
2015,1,1,23.65,1248.0,88.5,8.25
2015,3,0,13.53,1984.0,177.01,23.5
2010,3,1,18.5,1197.0,80.0,1.87
2010,3,0,14.4,1598.0,103.6,2.85
2012,3,1,16.8,1497.0,116.3,4.25
2012,1,1,23.08,1461.0,63.1,4.25
2013,3,1,20.92,998.0,67.1,2.75
2018,3,1,17.5,1199.0,88.7,9.9
2007,1,1,12.8,2494.0,102.0,4.0
2013,1,1,19.01,1461.0,108.45,7.75
2012,3,1,14.53,1798.0,138.1,6.75
2013,1,0,11.18,2696.0,184.0,12.5
2010,1,0,12.4,2698.0,179.5,11.5
2014,3,1,16.09,1598.0,103.5,6.98
2009,3,1,14.0,1061.0,64.0,1.85
2018,1,1,24.3,1248.0,88.5,8.63
2017,3,1,18.15,1198.0,82.0,4.85
2013,1,0,11.74,2987.0,254.8,28.0
2013,1,1,22.07,1199.0,73.9,5.0
2008,3,1,19.7,796.0,46.3,1.25
2014,3,1,25.4,624.0,37.5,1.53
2017,1,1,25.32,1198.0,77.0,5.58
