,sentence,label
0,"본 발명은 2종 이상의 생약 추출물을 유효성분으로 포함하는, 면역력 증진용 조성물 및 인터페론 감마 분비 촉진용 조성물에 관한 것이다. 상기 2종 이상의 추출물의 조합은 세포에 독성이 없으면서 체내 면역력을 촉진하는 인터페론 감마의 분비를 시너지하게 증가시키므로, 면역력 증진을 위하여 유용하게 사용될 수 있다.",1
1,본 발명은 타히보 추출물 및 팔각회향을 유효성분으로 포함하는 면역 증진용 조성물에 관한 것이다.,1
2,"본 출원은 신규한 터키 겨우살이의 추출물, 렉틴 및 상기 추출물 또는 렉틴의 제조방법을 제공하며, 상기 터키 겨우살이 추출물을 함유하는 운동력 증진 및 면역 개선 기능성 식품 조성물, 당뇨의 예방 및 치료용 약학적 조성물에 관한 것이다.",1
3,"아로니아(Aronia) 열매 추출물, 댕댕이나무(Lonicera caerulea) 열매 추출물, 구기자(Lycium Chinese Miller) 추출물, 당귀(Angelica sp.) 추출물, 해백(Allium macrostemon Bunge) 추출물 및 만삼(Codonopsis pilosula) 추출물로 구성되는 식물 추출물 중에서 적어도 3종이 배합된 복합 식물 추출물을 유효성분으로 포함하는 면역 증진용 조성물에 관한 것이다. 본 발명에 사용된 복합 식물 추출물은 선천성 면역과 후천성 면역을 모두 증진시킬 수 있다. 천연 소재를 활용하여 인체에 대한 독성이나 부작용이 없이 안전하게 섭취, 복용할 수 있으며, 면역 증진을 위한 약품이나 기능성 식품의 유효성분으로 활용될 수 있다.",1
4,"본 발명의 청각 추출물 및 홍삼 추출물을 포함하는 선천성 면역 증진용 조성물에 관한 것으로, 본 발명의 청각 추출물 및 홍삼 추출물을 포함하는 선천성 면역 증진용 조성물을 대식세포에 처리한 결과 활성화된 대식세포에서 분비되는 대표적인 국소 단백질인 TNF-α, IL-1β 및 IL-6 등과 같은 사이토카인의 발현과 산화질소(NO)의 생성량 및 대식세포의 식세포작용 효과를 증가시켜 선천성 면역 능력을 증진시키는 효과가 있다.",1
5,"본 발명은 청각 추출물 및 홍삼 추출물을 포함하는 후천성 면역 증진용 조성물에 관한 것으로, 본 발명의 청각 추출물 및 홍삼 추출물을 포함하는 면역 증진용 조성물은 CY(cyclophosphamide)처리에 의한 면역저하 유도 동물모델에서 비장 지수를 증가시키고, 면역체계를 담당하는 B 세포 또는 T 세포의 활성을 유도하며, 자연살해세포의 활성과 사이토카인 생성을 증가시켜 면역능력을 증진시키는 효과가 있다.",1
6,"본 발명은 효소 처리된 노니 추출물을 유효 성분으로 포함하는 면역 증진 조성물 제조방법에 관한 것으로, 본 발명에 따르면 면역 관련 인자의 생성을 향상시킬 수 있으므로 면역력 증진 효과를 가지는 추출물을 제공할 수 있다. 또한, 건강 기능성 조성물로서 식품 등 다양한 분야에 적용할 수 있다.",1
7,"본 발명은 면역 억제 효과가 증진된 중간엽 줄기세포의 제조 방법 및 이로부터 제조된 면역 억제 효과가 증진된 중간엽 줄기세포에 관한 것이다.  본 발명에 따른 면역 억제 효과가 증진된 중간엽 줄기 세포의 제조 방법은 중간엽 줄기세포, 특히 후기 계대의 중간엽 줄기세포에서 조직 재생 및 면역 조절에 관여하는 인자들의 분비능을 증진시킴으로써 중간엽 줄기 세포의 면역 억제 활성을 증가시켜 인체 이식에 적합한 세포 치료제로써의 중간엽 줄기세포 제공할 수 있다.",1
8,"본 발명은 항산화 기능성 및 혈류개선에 효과가 있는 부추 유산균 발효액에 관한 것으로, 더욱 상세하게는 부추 당침액 유산균 발효액에 사균을 첨가하여 제조한 부추 유산균 발효액은 면역활성 증진 기능성 식품 조성물을 함유한 가공 식품을 제조할 수 있는 뛰어난 효과가 있다.",1
9,본 발명은 좁은잎천선과 추출물을 유효성분으로 포함하는 면역 증진용 조성물에 관한 것이다.,1
