Survived,Pclass,Gender,Age,Fare,Embarked,honorific,num_family,alone
0,3,1,20,7.25,2,2,1,0
1,1,0,30,71.2833,0,3,1,0
1,3,0,20,7.925,2,1,0,1
1,1,0,30,53.1,2,3,1,0
0,3,1,30,8.05,2,2,0,1
0,3,1,20,8.4583,1,2,0,1
0,1,1,50,51.8625,2,2,0,1
0,3,1,0,21.075,2,0,4,0
1,3,0,20,11.1333,2,3,2,0
1,2,0,10,30.0708,0,3,1,0
1,3,0,0,16.7,2,1,2,0
1,1,0,50,26.55,2,1,0,1
0,3,1,10,8.05,2,2,0,1
0,3,1,30,31.275,2,2,6,0
0,3,0,10,7.8542,2,1,0,1
1,2,0,50,16.0,2,3,0,1
0,3,1,0,29.125,1,0,5,0
1,2,1,20,13.0,2,2,0,1
0,3,0,30,18.0,2,3,1,0
1,3,0,20,7.225,0,3,0,1
0,2,1,30,26.0,2,2,0,1
1,2,1,30,13.0,2,2,0,1
1,3,0,10,8.0292,1,1,0,1
1,1,1,20,35.5,2,2,0,1
0,3,0,0,21.075,2,1,4,0
1,3,0,30,31.3875,2,3,6,0
0,3,1,20,7.225,0,2,0,1
0,1,1,10,263.0,2,2,5,0
1,3,0,20,7.8792,1,1,0,1
0,3,1,20,7.8958,2,2,0,1
0,1,1,30,27.7208,0,4,0,1
1,1,0,20,146.5208,0,3,1,0
1,3,0,20,7.75,1,1,0,1
0,2,1,60,10.5,2,2,0,1
0,1,1,20,82.1708,0,2,1,0
0,1,1,40,52.0,2,2,1,0
1,3,1,20,7.2292,0,2,0,1
0,3,1,20,8.05,2,2,0,1
0,3,0,10,18.0,2,1,2,0
1,3,0,10,11.2417,0,1,1,0
0,3,0,30,9.475,2,3,1,0
0,2,0,20,21.0,2,3,1,0
0,3,1,20,7.8958,0,2,0,1
1,2,0,0,41.5792,0,1,3,0
1,3,0,10,7.8792,1,1,0,1
0,3,1,20,8.05,2,2,0,1
0,3,1,20,15.5,1,2,1,0
1,3,0,20,7.75,1,1,0,1
0,3,1,20,21.6792,0,2,2,0
0,3,0,10,17.8,2,3,1,0
0,3,1,0,39.6875,2,0,5,0
0,3,1,20,7.8,2,2,0,1
1,1,0,40,76.7292,0,3,1,0
1,2,0,20,26.0,2,3,1,0
0,1,1,60,61.9792,0,2,1,0
1,1,1,20,35.5,2,2,0,1
1,2,0,20,10.5,2,1,0,1
0,3,1,20,7.2292,0,2,0,1
1,2,0,0,27.75,2,1,3,0
0,3,1,10,46.9,2,0,7,0
0,3,1,20,7.2292,0,2,0,1
1,1,0,30,80.0,2,1,0,1
0,1,1,40,83.475,2,2,1,0
0,3,1,0,27.9,2,0,5,0
0,1,1,20,27.7208,0,2,0,1
1,3,1,20,15.2458,0,0,2,0
1,2,0,20,10.5,2,3,0,1
0,3,1,10,8.1583,2,2,0,1
1,3,0,10,7.925,2,1,6,0
0,3,1,20,8.6625,2,2,2,0
0,2,1,30,10.5,2,2,0,1
0,3,0,10,46.9,2,1,7,0
0,2,1,20,73.5,2,2,0,1
0,3,1,20,14.4542,0,2,1,0
1,3,1,30,56.4958,2,2,0,1
0,3,1,20,7.65,2,2,0,1
0,3,1,20,7.8958,2,2,0,1
0,3,1,20,8.05,2,2,0,1
1,2,1,0,29.0,2,0,2,0
1,3,0,20,12.475,2,1,0,1
0,3,1,20,9.0,2,2,0,1
1,3,1,20,9.5,2,2,0,1
1,3,0,20,7.7875,1,1,0,1
0,1,1,20,47.1,2,2,0,1
1,2,0,10,10.5,2,1,0,1
1,3,0,30,15.85,2,3,3,0
0,3,1,10,34.375,2,2,4,0
0,3,1,20,8.05,2,2,0,1
1,1,0,20,263.0,2,1,5,0
0,3,1,20,8.05,2,2,0,1
0,3,1,20,8.05,2,2,0,1
0,3,1,10,7.8542,2,2,0,1
0,1,1,40,61.175,2,2,1,0
0,3,1,20,20.575,2,2,3,0
0,3,1,50,7.25,2,2,0,1
0,3,1,20,8.05,2,2,0,1
0,1,1,70,34.6542,0,2,0,1
1,1,1,20,63.3583,0,2,1,0
1,2,0,30,23.0,2,3,1,0
0,2,1,30,26.0,2,2,1,0
0,3,0,20,7.8958,2,1,0,1
0,3,1,20,7.8958,2,2,0,1
0,1,1,20,77.2875,2,2,1,0
0,3,1,30,8.6542,2,2,0,1
0,3,1,30,7.925,2,2,2,0
0,3,1,20,7.8958,2,2,0,1
1,3,0,20,7.65,2,1,0,1
1,3,1,20,7.775,2,2,0,1
0,3,1,30,7.8958,2,2,0,1
1,3,0,20,24.15,1,1,1,0
0,1,1,40,52.0,2,2,0,1
0,3,0,10,14.4542,0,1,1,0
0,3,1,20,8.05,2,2,0,1
0,3,0,10,9.825,2,1,1,0
0,3,0,10,14.4583,0,1,0,1
0,3,1,20,7.925,2,2,0,1
0,3,1,70,7.75,1,2,0,1
0,2,1,20,21.0,2,2,1,0
0,1,1,20,247.5208,0,2,1,0
0,3,0,0,31.275,2,1,6,0
0,2,1,20,73.5,2,2,2,0
0,3,1,20,8.05,2,2,0,1
0,2,1,30,30.0708,0,2,1,0
1,2,0,30,13.0,2,1,0,1
0,1,1,50,77.2875,2,2,1,0
1,3,1,10,11.2417,0,0,1,0
0,3,1,20,7.75,1,2,0,1
1,3,1,20,7.1417,2,2,0,1
1,3,0,20,22.3583,0,1,2,0
0,3,1,40,6.975,2,2,0,1
0,3,1,30,7.8958,0,2,0,1
0,3,1,10,7.05,2,2,0,1
0,3,0,40,14.5,2,3,1,0
1,2,0,20,26.0,2,3,1,0
0,2,1,20,13.0,2,2,0,1
0,2,1,20,15.0458,0,2,0,1
1,1,0,10,26.2833,2,1,2,0
0,1,1,30,53.1,2,2,1,0
0,3,1,10,9.2167,2,2,0,1
0,1,1,20,79.2,0,2,0,1
0,3,0,20,15.2458,0,3,2,0
1,3,0,20,7.75,2,1,0,1
1,3,0,20,15.85,2,3,1,0
0,3,1,10,6.75,1,2,0,1
0,2,1,10,11.5,2,2,0,1
0,2,1,10,36.75,2,2,2,0
1,3,1,20,7.7958,2,2,0,1
0,3,0,0,34.375,2,1,4,0
0,2,1,30,26.0,2,2,2,0
0,2,1,40,13.0,2,4,0,1
0,2,1,50,12.525,2,4,0,1
1,1,0,20,66.6,2,3,1,0
0,3,1,50,8.05,2,2,0,1
0,3,1,40,14.5,2,2,2,0
0,3,1,20,7.3125,2,2,0,1
0,1,1,50,61.3792,0,2,1,0
1,3,0,10,7.7333,1,1,0,1
0,3,1,20,8.05,2,2,0,1
0,3,1,20,8.6625,2,2,0,1
0,3,1,20,69.55,2,0,10,0
0,3,1,40,16.1,2,2,1,0
1,2,0,30,15.75,2,3,0,1
0,3,1,20,7.775,2,2,0,1
0,3,1,10,8.6625,2,2,0,1
0,3,1,0,39.6875,2,0,5,0
1,3,1,0,20.525,2,0,2,0
