Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Power,Price
2010,72000,0,1,26.6,58.16,1.75
2015,41000,1,1,19.67,126.2,12.5
2011,46000,3,1,18.2,88.7,4.5
2012,87000,1,1,20.77,88.76,6.0
2013,40670,1,0,15.2,140.8,17.74
2012,75000,2,1,21.1,55.2,2.35
2013,86999,1,1,23.08,63.1,3.5
2016,36000,1,0,11.36,171.5,17.5
2013,64430,1,1,20.54,103.6,5.2
2012,65932,1,1,22.3,74.0,1.95
2018,25692,3,1,21.56,103.25,9.95
2012,60000,3,0,16.8,116.3,4.49
2015,64424,1,1,25.2,74.0,5.6
2014,72000,1,0,12.7,187.7,27.0
2014,110000,1,1,13.5,175.56,15.0
2016,58950,1,1,25.8,98.6,5.4
2017,25000,1,1,28.4,74.0,5.99
2014,77469,1,1,20.45,83.8,6.34
2014,78500,1,0,14.84,167.62,28.0
2014,32982,1,0,22.69,190.0,18.55
2015,55392,1,1,23.65,88.5,8.25
2015,55985,3,0,13.53,177.01,23.5
2010,45807,3,1,18.5,80.0,1.87
2010,33000,3,0,14.4,103.6,2.85
2012,51920,3,1,16.8,116.3,4.25
2012,54000,1,1,23.08,63.1,4.25
2013,54000,3,1,20.92,67.1,2.75
2018,37430,3,1,17.5,88.7,9.9
2013,62000,1,1,19.01,108.45,7.75
2012,87615,3,1,14.53,138.1,6.75
2013,72000,1,0,11.18,184.0,12.5
2010,35000,1,0,12.4,179.5,11.5
2014,55431,3,1,16.09,103.5,6.98
2009,83816,3,1,14.0,64.0,1.85
2018,50075,1,1,24.3,88.5,8.63
2017,52000,3,1,18.15,82.0,4.85
2013,62000,1,1,22.07,73.9,5.0
2008,90000,3,1,19.7,46.3,1.25
2014,19698,3,1,25.4,37.5,1.53
2017,22033,1,1,25.32,77.0,5.58
2014,35487,3,1,18.5,82.9,4.74
2014,46374,3,0,14.62,149.92,8.85
2016,52001,3,0,14.28,138.03,10.11
2008,58005,1,1,14.9,112.2,4.25
2012,70704,3,1,11.25,163.7,10.95
2014,75000,1,1,24.4,71.0,3.85
2012,75800,1,1,16.55,105.0,5.5
2015,13648,1,0,17.11,174.33,21.43
2014,52000,1,1,22.9,74.0,4.25
2014,53000,1,1,17.8,75.0,3.3
2013,65650,1,1,28.4,74.0,3.85
2015,54000,3,1,18.9,82.0,3.6
2015,39000,3,1,15.04,103.2,3.99
2017,16542,3,1,25.17,53.3,3.3
2010,32000,3,1,20.36,78.9,2.07
2010,121812,1,0,13.29,147.6,7.75
2010,39300,3,1,18.2,67.1,2.25
2017,22000,1,1,13.68,147.8,16.5
2010,72000,1,1,20.0,68.0,2.75
2015,58000,3,0,11.74,186.0,26.7
2011,65000,1,1,15.8,170.0,10.0
2012,65664,1,0,16.55,140.0,13.5
2007,63000,3,0,16.4,78.0,1.85
2016,63000,1,1,24.52,88.5,8.15
2018,13000,1,1,22.1,88.7,10.5
2015,55729,1,1,15.1,140.0,9.65
2012,45178,3,0,16.95,78.9,3.48
2015,56066,1,1,19.64,108.5,6.92
2016,37300,3,0,16.5,86.8,6.46
2014,56000,1,0,18.53,187.74,29.5
2012,104000,1,1,12.8,102.0,11.75
2012,95100,1,1,22.9,74.0,3.75
2017,70000,3,1,17.57,88.7,4.5
2016,54944,3,1,18.0,86.7,4.82
2012,70337,1,1,20.0,68.0,2.8
2013,99638,1,1,23.2,73.94,3.11
2009,52000,3,1,17.8,117.3,3.25
2009,95980,3,1,20.36,78.9,2.25
2016,16000,3,1,18.9,82.0,5.75
2016,18949,3,1,17.8,86.7,5.0
2014,107000,1,1,13.0,168.5,16.5
2018,48367,1,0,17.68,174.33,39.58
2013,57000,1,1,22.7,89.84,5.5
2014,58000,1,1,15.1,140.0,8.1
2015,30000,1,1,25.8,98.6,3.5
2013,34212,1,1,22.07,73.9,2.79
2010,70002,1,1,16.2,110.0,3.45
2016,62000,3,1,18.9,67.1,4.45
2010,62001,3,1,15.26,103.5,2.65
2011,78958,1,1,23.0,90.0,3.8
2014,30180,3,1,18.5,82.85,4.65
2017,32851,3,1,19.83,67.0,3.95
2009,66000,3,1,17.0,80.0,2.7
2010,93850,3,1,14.0,35.0,2.41
2014,53000,3,1,17.71,78.9,3.9
